"","age","type_employer","fnlwgt","education","marital","occupation","relationship","race","sex","capital_gain","capital_loss","hr_per_week","country","income"
"174",2,3,428030,1,1,3,1,1,1,0,0,1,1,1
"175",2,1,149624,1,2,4,2,1,1,0,0,1,1,2
"176",2,3,253814,2,3,6,5,1,2,0,0,2,1,1
"177",2,3,312956,2,1,3,4,2,1,0,0,1,1,1
"178",1,3,483777,2,1,3,1,2,1,0,0,1,1,1
"179",4,3,183930,2,1,5,4,1,1,0,0,2,1,1
"180",1,3,37274,1,2,4,2,1,1,0,0,1,1,1
"181",1,1,181344,5,2,2,2,2,1,0,0,1,1,2
"182",1,3,114580,5,3,1,1,1,2,0,0,1,1,1
"183",2,3,633742,5,1,3,1,2,1,0,0,1,1,1
"184",1,3,286370,3,2,3,2,1,1,0,0,1,3,2
"185",1,4,29054,5,2,1,2,1,1,0,0,1,1,2
"186",1,3,304030,2,2,1,2,2,1,0,0,1,1,1
"187",1,2,143129,1,3,2,1,1,2,0,0,1,1,1
"189",1,3,99928,4,2,4,3,1,2,0,0,1,1,1
"190",1,1,109567,7,2,4,2,1,1,0,0,2,1,2
"191",1,3,155222,5,3,3,1,2,2,0,0,1,1,1
"192",2,3,159567,5,2,3,2,1,1,0,0,1,1,1
"193",1,1,523910,1,2,3,2,2,1,0,0,1,1,1
"194",1,3,120939,5,2,7,2,1,1,0,0,1,1,1
"195",1,4,130760,1,2,7,2,1,1,0,0,2,1,1
"196",2,3,197387,3,2,3,6,1,1,0,0,1,3,1
"197",1,3,99374,5,3,3,1,1,1,0,0,1,1,1
"198",1,4,56795,4,1,2,1,1,2,14084,0,1,1,2
"199",1,3,138992,4,2,4,6,1,1,7298,0,1,1,2
"200",2,2,32921,2,1,6,1,1,1,0,0,1,1,1
"201",2,3,397317,4,1,4,1,1,2,0,1876,3,1,1
"203",1,3,259323,1,2,2,2,1,1,0,0,1,1,2
"204",1,1,254817,5,1,4,1,1,2,0,1340,3,1,1
"205",1,1,48211,2,3,1,5,1,2,0,0,1,1,1
"206",4,3,140164,3,1,6,4,1,2,0,0,1,1,1
"207",1,3,128757,1,2,5,2,2,1,7298,0,1,1,2
"208",1,3,36270,2,3,3,1,1,1,0,0,1,1,1
"209",1,2,210563,2,2,6,3,1,2,15024,0,1,1,2
"210",4,3,65368,3,1,6,4,1,2,0,0,2,1,1
"211",1,1,160943,2,2,3,2,2,1,0,0,1,1,1
"212",1,3,208358,2,2,3,2,1,1,0,0,1,1,2
"213",1,3,153790,5,1,6,1,4,2,0,0,1,1,1
"214",1,3,85815,2,2,3,2,3,1,0,0,1,1,1
"215",1,2,125417,3,2,3,2,1,1,0,0,1,1,2
"216",1,3,635913,1,1,2,1,2,1,0,0,1,1,2
"217",1,3,313321,6,3,6,1,1,2,0,0,1,1,1
"218",1,3,182609,1,2,6,2,1,1,0,0,1,7,1
"219",1,3,109434,1,2,4,2,1,1,0,0,1,1,1
"220",2,3,255004,3,1,3,1,1,1,0,0,1,1,1
"221",1,3,197860,5,2,3,2,1,1,0,0,1,1,1
"223",3,3,51744,2,1,5,1,2,1,0,2206,3,1,1
"224",1,3,176681,2,2,1,2,2,1,0,0,2,1,1
"225",1,1,140359,3,1,3,1,1,2,0,0,1,1,1
"226",4,3,243313,2,1,6,4,1,2,0,0,1,1,1
"228",3,2,167687,2,2,3,2,1,1,1409,0,1,1,1
"229",3,3,314209,6,4,1,1,1,2,0,0,2,8,1
"230",3,3,176796,2,3,1,1,1,2,0,0,1,1,1
"231",1,3,538583,3,3,3,1,2,1,3674,0,1,1,1
"232",1,3,130408,2,3,6,5,2,2,0,0,1,1,1
"233",2,3,159732,5,1,1,1,1,1,0,0,1,1,1
"234",1,3,110978,5,3,3,6,5,2,0,0,1,1,1
"235",2,3,76714,8,1,4,1,1,1,0,0,1,1,2
"236",1,1,268700,2,2,5,2,1,1,0,0,1,1,1
"237",1,1,170525,5,1,1,1,1,2,0,0,1,1,1
"238",1,3,180138,1,2,2,2,1,1,0,0,1,2,2
"239",1,1,115076,4,2,2,2,1,1,0,0,1,1,2
"240",2,3,115458,2,1,3,4,1,1,0,0,1,1,1
"241",1,3,347890,1,2,4,2,1,1,0,0,1,1,2
"242",1,2,196001,2,2,5,3,1,2,0,0,2,1,1
"243",2,1,273905,6,2,7,2,1,1,0,0,1,1,1
"245",1,3,179488,5,3,3,1,1,1,0,1741,3,1,1
"247",1,3,236596,2,2,1,2,1,1,0,0,1,1,2
"248",1,3,183916,2,1,5,1,1,2,0,0,1,1,1
"249",1,3,207578,6,2,7,2,1,1,0,1977,4,1,2
"251",1,3,112763,8,2,4,3,1,2,0,0,1,1,2
"252",1,3,390781,1,2,1,3,2,2,0,0,1,1,1
"253",1,1,171328,3,4,5,5,2,2,0,0,1,1,1
"254",2,1,27382,5,1,1,4,1,1,0,0,1,1,1
"255",1,3,259014,5,1,3,1,1,1,0,0,2,1,1
"256",1,2,303044,2,2,3,2,3,1,0,0,1,6,2
"257",2,3,117789,2,1,5,4,1,2,0,0,1,1,1
"258",1,3,172579,2,3,5,1,1,2,0,0,1,1,1
"259",1,3,187666,6,4,2,1,1,2,0,0,1,1,1
"260",1,3,204518,3,3,3,1,1,1,0,0,1,1,1
"261",1,3,150042,1,3,4,4,1,2,0,0,1,1,1
"262",1,3,98092,2,2,6,2,1,1,0,0,1,1,1
"263",4,3,245918,3,1,5,4,1,1,0,0,2,1,1
"264",1,3,146013,5,2,6,2,1,1,4064,0,1,1,1
"265",2,3,378322,3,2,3,2,1,1,0,0,1,1,1
"266",1,2,257295,5,2,2,2,3,1,0,0,1,6,2
"268",3,3,21174,2,2,2,2,1,1,0,0,1,1,2
"269",1,3,185480,1,1,4,1,1,2,0,0,1,1,1
"270",1,3,222205,2,2,3,3,1,2,0,0,1,1,2
"271",5,3,69867,2,2,2,2,1,1,0,0,1,1,2
"272",4,3,191260,3,1,5,4,1,1,1055,0,2,1,1
"273",1,2,30653,4,2,3,2,1,1,2407,0,1,1,1
"274",2,1,209109,4,1,4,4,1,1,0,0,1,1,1
"275",2,3,70377,2,3,4,4,1,2,0,0,1,1,1
"276",1,3,477983,2,2,3,2,2,1,0,0,1,1,1
"277",1,3,170924,5,2,3,2,1,1,7298,0,1,1,2
"278",1,3,190174,5,1,2,1,1,2,0,0,1,1,1
"279",2,3,193787,5,1,7,4,1,2,0,0,1,1,1
"280",2,3,279472,5,2,3,3,1,2,7298,0,1,1,2
"281",2,3,34918,1,1,4,1,1,2,0,0,2,5,1
"282",1,1,97688,5,2,3,2,1,1,5178,0,1,1,2
"283",1,3,175413,6,3,6,5,2,2,0,0,1,1,1
"284",1,3,173960,1,3,4,1,1,2,0,0,1,1,1
"285",2,3,205759,2,1,3,4,1,1,0,0,1,1,1
"286",1,4,425161,4,2,6,2,1,1,15024,0,1,1,2
"287",1,3,220531,8,2,4,2,1,1,0,0,1,1,2
"288",1,3,176609,5,3,5,1,1,1,0,0,1,1,1
"289",2,3,371987,1,1,2,1,1,2,0,0,1,1,1
"290",1,3,193884,3,2,3,2,1,1,0,0,1,8,1
"291",1,3,200352,1,2,4,2,1,1,0,0,1,1,1
"292",1,3,127595,2,3,4,1,1,2,0,0,1,1,1
"293",2,1,220419,1,1,7,1,1,1,0,0,1,1,1
"294",2,3,231931,5,1,6,4,1,1,0,0,1,1,1
"295",2,3,248402,1,1,7,5,2,2,0,0,1,1,1
"296",3,3,111095,2,2,3,2,1,1,0,0,2,1,1
"297",1,2,57424,1,3,6,1,1,2,0,0,1,1,1
"299",2,3,278130,2,1,3,4,1,1,0,0,1,1,1
"300",1,3,169469,2,3,6,1,1,1,0,0,1,1,1
"301",1,3,146268,1,2,1,2,1,1,7688,0,1,1,2
"302",2,3,153718,5,1,5,1,3,2,0,0,2,1,1
"303",1,3,217460,2,2,3,2,1,1,0,0,1,1,2
"304",1,3,238638,2,2,6,2,1,1,4386,0,1,1,2
"305",2,3,303296,5,2,1,3,3,2,0,0,1,6,1
"306",1,3,173321,2,3,1,1,1,2,0,0,1,1,1
"307",2,3,193945,6,1,7,1,1,1,0,0,1,1,1
"308",1,3,83082,6,1,4,1,1,2,0,0,1,1,1
"309",1,3,193815,6,2,1,2,1,1,0,0,1,1,2
"310",1,2,34987,5,2,3,2,1,1,0,0,1,1,2
"311",2,3,59306,1,1,6,1,1,1,0,0,1,1,1
"312",1,3,142897,4,2,2,2,3,1,7298,0,1,9,2
"314",1,2,205607,1,3,4,1,2,2,0,0,1,1,2
"315",2,3,199698,5,1,6,4,1,1,0,0,2,1,1
"316",2,3,191954,5,1,3,1,1,1,0,0,1,1,1
"317",3,2,138714,5,2,6,2,1,1,0,0,1,1,1
"318",2,3,399087,3,2,3,6,1,2,0,0,1,3,1
"319",2,3,423158,5,1,7,1,1,2,0,0,1,1,1
"320",3,3,159841,2,4,5,1,1,2,0,0,2,1,1
"321",1,2,174308,2,2,2,2,1,1,0,0,1,1,1
"322",1,3,50356,5,2,3,2,1,1,0,1485,5,1,1
"323",1,3,186110,2,3,3,1,1,1,0,0,1,1,1
"324",2,3,200381,3,1,2,1,1,2,0,0,1,1,1
"325",3,2,174309,4,2,3,2,1,1,0,0,2,1,1
"326",3,2,78383,2,2,3,2,1,1,0,0,1,1,1
"328",1,3,187728,5,2,4,3,1,2,0,1887,5,1,2
"329",1,2,321171,2,2,3,2,1,1,0,0,1,1,1
"330",3,3,127921,2,1,3,1,1,1,2050,0,1,1,1
"331",1,3,206565,5,1,3,1,2,1,0,0,1,1,1
"332",2,3,224563,1,1,1,1,1,1,0,0,1,1,1
"333",1,3,178686,6,1,5,1,1,1,0,0,1,1,1
"334",1,1,98545,3,2,1,2,1,1,0,0,1,1,1
"335",1,3,242606,2,2,3,2,1,1,0,0,1,1,1
"336",4,3,270942,3,1,5,6,1,1,0,0,1,3,1
"337",2,3,94235,2,1,3,6,1,1,0,0,1,1,1
"338",1,3,71195,4,1,4,1,1,1,0,0,1,1,1
"339",2,3,104112,2,1,6,5,2,1,0,0,1,3,1
"340",1,3,261192,2,2,5,2,2,1,0,0,1,1,1
"341",2,3,94936,6,1,6,1,1,1,0,0,1,1,1
"342",1,3,296478,6,2,3,2,1,1,7298,0,1,1,2
"343",1,1,119272,2,2,7,2,1,1,7298,0,1,1,2
"344",1,3,85043,2,1,3,1,1,1,0,0,2,1,1
"345",2,1,293364,5,1,7,4,2,2,0,0,1,1,1
"346",1,2,241895,1,1,6,1,1,1,0,0,1,1,1
"349",1,3,101128,6,3,5,1,1,1,0,0,2,2,1
"350",1,3,156464,1,1,4,4,1,1,0,0,2,1,1
"351",1,3,117963,1,2,2,2,1,1,0,0,1,1,2
"352",2,3,192262,2,2,5,2,1,1,0,0,1,1,1
"353",1,3,111363,1,2,2,2,1,1,0,0,1,1,2
"354",1,1,329752,3,2,3,2,1,1,0,0,1,1,1
"356",1,4,95432,2,2,1,2,1,1,0,0,1,1,2
"357",3,3,161400,3,4,5,5,5,1,0,0,1,1,1
"358",1,3,96129,6,2,7,2,1,1,0,0,1,1,2
"359",1,3,111949,2,2,1,3,1,2,0,0,1,1,1
"360",2,2,117125,3,2,3,2,1,1,0,0,1,7,1
"361",1,3,348022,3,2,5,3,1,2,0,0,2,1,1
"362",3,3,270092,4,2,4,2,1,1,0,0,1,1,2
"363",1,3,180609,1,2,3,2,1,1,0,0,1,1,1
"364",1,3,174575,1,3,2,1,1,1,0,1564,7,1,2
"365",2,3,410439,2,3,6,1,1,1,0,0,1,1,1
"366",2,3,92262,2,2,3,2,1,1,0,0,1,1,1
"367",1,2,183081,5,2,6,2,1,1,0,0,1,1,1
"368",2,3,362589,6,1,6,1,1,2,0,0,2,1,1
"369",1,3,212448,1,3,2,1,1,2,0,0,1,1,2
"370",1,3,481060,2,3,6,5,1,2,0,0,1,1,1
"371",2,4,185885,5,1,1,5,1,2,0,0,2,1,1
"372",4,3,89821,3,1,5,4,1,1,0,0,2,1,1
"373",1,1,184018,6,2,3,2,1,1,0,0,1,1,2
"374",1,3,256649,2,2,3,2,2,1,0,0,1,1,1
"375",1,3,160323,2,1,3,1,2,1,0,0,1,1,1
"376",2,1,350845,5,1,1,4,1,2,0,0,2,1,1
"377",1,3,267404,2,2,3,3,1,2,0,0,1,1,1
"378",2,3,35633,5,1,6,1,1,1,0,0,1,1,1
"379",1,2,80914,4,3,2,1,1,1,0,0,1,1,1
"380",1,3,172927,2,2,6,2,1,1,0,0,1,1,1
"381",1,3,174319,2,3,3,1,1,1,0,0,1,1,1
"382",1,3,214955,3,3,3,1,1,2,0,2339,7,1,1
"383",2,3,344991,5,2,3,2,1,1,0,0,1,1,1
"384",1,3,108699,5,3,6,1,1,2,0,0,1,1,1
"385",1,1,117312,5,2,3,3,1,2,0,0,1,1,1
"386",2,3,396099,2,1,5,1,1,2,0,0,2,1,1
"387",2,3,134152,2,3,3,1,1,1,0,0,1,1,1
"388",1,3,162028,5,2,1,3,1,2,0,2415,8,1,2
"389",2,3,25429,5,1,1,4,1,2,0,0,2,1,1
"390",2,3,232392,2,1,5,6,1,2,0,0,1,1,1
"391",1,3,220098,2,2,5,3,1,2,0,0,1,1,2
"392",2,3,301302,1,1,3,1,1,1,0,0,1,1,1
"393",1,2,277946,6,3,3,1,1,1,0,0,1,1,1
"395",1,3,196164,2,1,5,1,1,2,0,0,1,1,1
"396",1,3,115562,5,2,7,2,1,1,0,0,1,1,1
"397",1,3,96975,5,3,3,5,1,2,0,0,1,1,1
"399",2,3,86872,1,2,2,2,1,1,0,0,1,1,2
"400",1,2,132178,1,2,2,2,1,1,0,0,1,1,2
"401",2,3,416103,5,1,3,4,1,1,0,0,1,1,1
"402",2,3,108574,5,1,5,1,1,2,0,0,1,1,1
"403",1,1,288353,1,2,7,2,1,1,0,0,1,1,2
"404",1,3,227689,6,3,7,1,1,2,0,0,1,1,1
"405",2,3,166481,3,2,3,2,5,1,0,2179,3,3,1
"406",1,3,445382,4,2,2,2,1,1,0,1977,9,1,2
"407",2,3,110145,2,2,1,2,1,1,0,0,1,1,1
"408",1,2,317253,2,2,3,2,1,1,0,0,2,1,1
"410",1,3,364657,5,2,2,2,1,1,0,0,1,1,1
"411",1,1,42346,5,3,5,1,2,2,0,0,2,1,1
"412",2,3,241951,2,1,3,5,2,2,0,0,1,1,1
"413",1,3,118500,5,3,2,5,1,2,0,0,1,1,1
"414",1,3,188386,7,2,2,2,1,1,15024,0,1,1,2
"415",1,1,1033222,5,2,3,2,1,1,0,0,1,1,1
"416",1,3,92440,3,3,3,1,1,1,0,0,1,1,2
"417",1,3,190762,3,2,3,2,1,1,0,0,1,3,1
"418",2,3,426017,3,1,5,4,1,2,0,0,2,1,1
"419",1,1,243867,3,3,3,1,2,1,0,0,1,1,1
"420",1,1,240283,2,3,3,5,1,2,0,0,1,1,1
"421",2,3,61777,5,2,6,2,1,1,0,0,1,1,1
"422",4,3,175024,3,1,3,4,1,1,2176,0,2,1,1
"423",1,1,92003,1,2,2,3,1,2,0,0,1,1,2
"424",2,3,188401,2,3,3,1,1,1,0,0,1,1,1
"425",1,3,228528,3,1,3,5,1,2,0,0,1,1,1
"426",2,3,133373,2,2,3,2,1,1,0,0,1,1,1
"427",1,4,255191,4,1,4,1,1,1,0,1408,3,1,1
"428",2,3,204653,2,1,3,1,1,1,0,0,1,3,1
"429",3,2,222289,2,2,2,2,1,1,0,0,1,1,2
"430",1,1,287480,4,2,4,2,1,1,0,0,1,1,1
"433",1,2,204116,1,3,4,1,1,2,2174,0,1,1,1
"434",2,3,29662,6,2,5,3,1,2,0,0,2,1,2
"435",2,3,116358,5,1,3,4,3,1,0,1980,3,6,1
"436",1,3,208405,4,2,4,2,1,1,0,0,1,1,2
"437",1,1,284843,2,1,3,1,2,1,594,0,1,1,1
"438",1,1,117018,5,1,7,1,1,2,0,0,1,1,1
"439",2,3,81281,5,2,1,2,1,1,0,0,1,1,1
"440",1,1,340148,5,2,1,3,1,2,0,0,1,1,1
"441",2,3,363425,1,1,4,1,1,1,0,0,1,1,1
"442",1,3,45857,2,3,1,1,1,2,0,0,1,1,1
"443",2,4,191073,2,1,8,4,1,1,0,0,1,1,1
"444",1,3,116632,5,2,4,2,1,1,0,0,1,1,2
"445",2,3,405855,3,1,3,6,1,1,0,0,1,3,1
"446",2,3,298227,5,1,6,1,1,1,0,0,1,1,1
"447",1,3,290521,2,4,2,5,2,2,0,0,1,1,1
"448",1,3,56915,2,2,3,2,4,1,0,0,1,1,1
"449",2,3,146538,2,2,3,2,1,1,0,0,1,1,1
"451",2,3,206399,2,1,3,4,2,2,0,0,1,1,1
"452",1,2,197332,5,2,3,2,1,1,0,0,1,1,2
"453",1,3,245062,2,2,3,2,1,1,0,0,1,1,2
"455",1,2,234885,2,2,6,3,1,2,0,0,1,1,2
"456",1,3,72887,6,2,3,2,3,1,0,0,1,1,2
"457",2,3,180374,2,2,2,3,1,2,0,0,1,1,1
"458",1,3,351299,5,2,3,2,2,1,0,0,1,1,1
"459",2,3,54012,2,2,3,2,1,1,0,0,1,1,1
"461",1,3,116632,6,1,3,4,1,1,0,0,1,1,1
"462",1,1,288825,2,2,3,2,2,1,0,0,1,1,1
"463",1,3,132601,1,2,4,2,1,1,0,0,1,1,1
"464",1,3,193374,3,3,3,5,1,1,0,0,1,1,1
"465",2,3,170070,1,1,7,1,1,2,0,0,2,1,1
"466",1,3,126708,2,2,1,3,1,2,0,0,1,1,1
"467",1,3,35598,2,3,3,5,1,1,0,0,1,1,1
